478       	212       	339       	244       	291       	82        	2304      	878       	1125      	3600      	1468      	1         	870       	376       	66        	2322      	
681       	2188      	1492      	1071      	1963      	498       	2792      	1568      	1220      	4823      	1575      	829       	1100      	1466      	1332      	3058      	
4613      	2428      	2228      	2641      	2323      	2467      	2981      	3651      	2980      	5120      	1852      	1340      	1454      	2960      	1440      	3499      	
6460      	3071      	2251      	4227      	3848      	3380      	4664      	4427      	3013      	6609      	2474      	1784      	2618      	3259      	1535      	3639      	
7812      	3681      	3474      	6045      	4931      	4111      	5715      	4559      	3216      	7914      	4029      	2695      	4931      	3815      	1671      	3699      	
7832      	4321      	4745      	6138      	5381      	5298      	5981      	4749      	4485      	8626      	6136      	7336      	4989      	5737      	3127      	5984      	
8616      	6682      	5608      	6377      	5594      	5724      	8525      	6159      	4685      	8747      	6351      	8566      	4993      	5936      	4197      	6961      	
9294      	6927      	7663      	6441      	5934      	6819      	9251      	6176      	5632      	8781      	6526      	9204      	5679      	6408      	4286      	8181      	
9625      	8407      	7686      	8002      	7256      	7092      	9415      	6569      	5866      	8930      	6867      	9275      	5936      	6715      	4752      	8399      	
9936      	9637      	8577      	8053      	9937      	7587      	9688      	7746      	9786      	9311      	9190      	9686      	9801      	6905      	5165      	8748      	
